|"Base Slope"|||"20529275"|"7012106"
|"Interfluve"|||"20529276"|"7012110"
|"Side Slope"|||"20529276"|"7012111"
|"Interfluve"|||"20529277"|"7012114"
|"Side Slope"|||"20529277"|"7012115"
|"Interfluve"|||"20529278"|"7012068"
|"Side Slope"|||"20529278"|"7012069"
|"Base Slope"|||"20529279"|"7012072"
|"Interfluve"|||"20529279"|"7012073"
"Mountaintop"||||"20529280"|"7012077"
|"Interfluve"|||"20529281"|"7012080"
|"Side Slope"|||"20529281"|"7012081"
|"Base Slope"|||"20529282"|"7012084"
|"Interfluve"|||"20529282"|"7012085"
|"Nose Slope"|||"20529283"|"7012089"
|"Side Slope"|||"20529283"|"7012090"
"Mountaintop"||||"20529284"|"7011908"
|"Crest"|||"20529284"|"7011909"
"Mountaintop"||||"20529285"|"7011911"
|"Crest"|||"20529285"|"7011912"
"Mountainflank"||||"20529286"|"7011914"
|"Side Slope"|||"20529286"|"7011915"
"Mountainflank"||||"20529287"|"7011987"
|"Base Slope"|||"20529287"|"7011988"
"Mountainflank"||||"20529288"|"7011991"
|"Base Slope"|||"20529288"|"7011992"
|"Interfluve"|||"20529289"|"7012064"
|"Side Slope"|||"20529289"|"7012065"
|"Crest"|||"20529290"|"7011851"
|"Crest"|||"20529291"|"7011853"
|"Side Slope"|||"20529292"|"7011855"
|"Side Slope"|||"20529293"|"7011857"
|"Side Slope"|||"20529294"|"7011859"
|"Crest"|||"20529295"|"7011900"
|"Crest"|||"20529296"|"7012148"
|"Side Slope"|||"20529297"|"7012159"
|"Crest"|||"20529298"|"7012209"
|"Side Slope"|||"20529299"|"7012215"
|"Side Slope"|||"20529300"|"7012236"
|"Crest"|||"20529301"|"7012277"
|"Crest"|||"20529302"|"7012054"
|"Crest"|||"20529303"|"7012056"
|"Crest"|||"20529304"|"7012058"
|"Crest"|||"20529305"|"7012133"
|"Base Slope"|||"20529306"|"7012136"
|"Side Slope"|||"20529307"|"7012142"
|"Side Slope"|||"20529308"|"7011984"
|"Crest"|||"20529309"|"7012036"
|"Crest"|||"20529310"|"7012039"
|"Crest"|||"20529311"|"7012042"
|"Crest"|||"20529312"|"7012045"
|"Crest"|||"20529313"|"7012048"
|"Crest"|||"20529314"|"7011903"
|"Side Slope"|||"20529315"|"7011906"
|"Base Slope"|||"20529316"|"7011973"
|"Base Slope"|||"20529317"|"7011975"
|"Crest"|||"20529318"|"7011980"
|"Crest"|||"20529319"|"7011982"
|"Crest"|||"20529320"|"7012037"
|"Crest"|||"20529321"|"7012040"
|"Crest"|||"20529322"|"7012043"
|"Crest"|||"20529323"|"7012046"
|"Side Slope"|||"20529324"|"7012195"
|"Side Slope"|||"20529327"|"7012074"
|"Side Slope"|||"20529330"|"7012086"
|"Side Slope"|||"20529333"|"7012270"
|"Side Slope"|||"20529350"|"7012165"
|"Side Slope"|||"20529357"|"7012150"
